scientific_name,common_name
pelargopsis melanorhyncha,great-billed kingfisher
halcyon coromanda,ruddy kingfisher
halcyon badia,chocolate-backed kingfisher
halcyon smyrnensis,white-throated kingfisher
halcyon gularis,brown-breasted kingfisher
halcyon leucocephala,gray-headed kingfisher
halcyon pileata,black-capped kingfisher
halcyon cyanoventris,javan kingfisher
halcyon senegalensis,woodland kingfisher
halcyon senegaloides,mangrove kingfisher
halcyon malimbica,blue-breasted kingfisher
halcyon albiventris,brown-hooded kingfisher
halcyon chelicuti,striped kingfisher
todiramphus nigrocyaneus,blue-black kingfisher
todiramphus winchelli,rufous-lored kingfisher
todiramphus diops,blue-and-white kingfisher
todiramphus lazuli,lazuli kingfisher
todiramphus pyrrhopygius,red-backed kingfisher
todiramphus macleayii,forest kingfisher
todiramphus albonotatus,new britain kingfisher
todiramphus leucopygius,ultramarine kingfisher
todiramphus farquhari,vanuatu kingfisher
todiramphus godeffroyi,marquesas kingfisher
todiramphus ruficollaris,mewing kingfisher
todiramphus veneratus,society kingfisher
todiramphus gambieri,tuamotu kingfisher
todiramphus tutus,chattering kingfisher
todiramphus sacer,pacific kingfisher
todiramphus pelewensis,palau kingfisher
todiramphus cinnamominus,guam kingfisher
todiramphus reichenbachii,pohnpei kingfisher
todiramphus recurvirostris,flat-billed kingfisher
todiramphus colonus,colonist kingfisher
todiramphus sordidus,torresian kingfisher
todiramphus sanctus,sacred kingfisher
todiramphus chloris,collared kingfisher
todiramphus saurophagus,beach kingfisher
todiramphus albicilla,mariana kingfisher
todiramphus tristrami,melanesian kingfisher
todiramphus funebris,sombre kingfisher
todiramphus enigma,talaud kingfisher
todiramphus australasia,cinnamon-banded kingfisher
caridonax fulgidus,white-rumped kingfisher
melidora macrorrhina,hook-billed kingfisher
actenoides bougainvillei,moustached kingfisher
actenoides concretus,rufous-collared kingfisher
actenoides lindsayi,spotted kingfisher
actenoides hombroni,blue-capped kingfisher
actenoides monachus,green-backed kingfisher
actenoides princeps,scaly-breasted kingfisher
syma torotoro,yellow-billed kingfisher
syma megarhyncha,mountain kingfisher
tanysiptera hydrocharis,little paradise-kingfisher
tanysiptera galatea,common paradise-kingfisher
tanysiptera ellioti,kofiau paradise-kingfisher
tanysiptera riedelii,biak paradise-kingfisher
tanysiptera carolinae,numfor paradise-kingfisher
tanysiptera nympha,red-breasted paradise-kingfisher
tanysiptera danae,brown-headed paradise-kingfisher
tanysiptera sylvia,buff-breasted paradise-kingfisher
tanysiptera nigriceps,black-capped paradise-kingfisher
megaceryle maxima,giant kingfisher
megaceryle lugubris,crested kingfisher
megaceryle torquata,ringed kingfisher
megaceryle alcyon,belted kingfisher
ceryle rudis,pied kingfisher
chloroceryle amazona,amazon kingfisher
chloroceryle aenea,american pygmy kingfisher
chloroceryle americana,green kingfisher
chloroceryle inda,green-and-rufous kingfisher
nyctyornis amictus,red-bearded bee-eater
nyctyornis athertoni,blue-bearded bee-eater
meropogon forsteni,purple-bearded bee-eater
merops gularis,black bee-eater
merops mentalis,blue-moustached bee-eater
merops muelleri,blue-headed bee-eater
merops bulocki,red-throated bee-eater
merops bullockoides,white-fronted bee-eater
merops pusillus,little bee-eater
merops variegatus,blue-breasted bee-eater
merops lafresnayii,ethiopian bee-eater
merops oreobates,cinnamon-chested bee-eater
merops hirundineus,swallow-tailed bee-eater
merops breweri,black-headed bee-eater
merops revoilii,somali bee-eater
merops albicollis,white-throated bee-eater
merops viridissimus,african green bee-eater
merops cyanophrys,arabian green bee-eater
merops orientalis,asian green bee-eater
merops boehmi,bã¶hm's bee-eater
merops viridis,blue-throated bee-eater
merops americanus,rufous-crowned bee-eater
merops persicus,blue-cheeked bee-eater
merops superciliosus,madagascar bee-eater
merops philippinus,blue-tailed bee-eater
merops ornatus,rainbow bee-eater
merops apiaster,european bee-eater
merops leschenaulti,chestnut-headed bee-eater
merops malimbicus,rosy bee-eater
merops nubicus,northern carmine bee-eater
merops nubicoides,southern carmine bee-eater
coracias garrulus,european roller
coracias abyssinicus,abyssinian roller
coracias caudatus,lilac-breasted roller
coracias naevius,rufous-crowned roller
coracias benghalensis,indian roller
coracias affinis,indochinese roller
coracias temminckii,purple-winged roller
coracias cyanogaster,blue-bellied roller
eurystomus glaucurus,broad-billed roller
eurystomus gularis,blue-throated roller
eurystomus orientalis,dollarbird
eurystomus azureus,azure roller
geobiastes squamiger,scaly ground-roller
brachypteracias leptosomus,short-legged ground-roller
uratelornis chimaera,long-tailed ground-roller
atelornis pittoides,pitta-like ground-roller
atelornis crossleyi,rufous-headed ground-roller
notharchus hyperrhynchus,white-necked puffbird
notharchus macrorhynchos,guianan puffbird
notharchus swainsoni,buff-bellied puffbird
notharchus pectoralis,black-breasted puffbird
notharchus ordii,brown-banded puffbird
notharchus tectus,pied puffbird
bucco macrodactylus,chestnut-capped puffbird
bucco tamatia,spotted puffbird
bucco noanamae,sooty-capped puffbird
bucco capensis,collared puffbird
nystalus radiatus,barred puffbird
nystalus obamai,western striolated-puffbird
nystalus striolatus,eastern striolated-puffbird
nystalus chacuru,white-eared puffbird
nystalus maculatus,spot-backed puffbird
hypnelus ruficollis,russet-throated puffbird
hypnelus bicinctus,two-banded puffbird
malacoptila fusca,white-chested puffbird
malacoptila semicincta,semicollared puffbird
malacoptila striata,crescent-chested puffbird
malacoptila rufa,rufous-necked puffbird
malacoptila panamensis,white-whiskered puffbird
malacoptila fulvogularis,black-streaked puffbird
malacoptila mystacalis,moustached puffbird
micromonacha lanceolata,lanceolated monklet
nonnula rubecula,rusty-breasted nunlet
nonnula sclateri,fulvous-chinned nunlet
nonnula brunnea,brown nunlet
nonnula frontalis,gray-cheeked nunlet
nonnula ruficapilla,rufous-capped nunlet
nonnula amaurocephala,chestnut-headed nunlet
hapaloptila castanea,white-faced nunbird
monasa atra,black nunbird
monasa nigrifrons,black-fronted nunbird
monasa morphoeus,white-fronted nunbird
monasa flavirostris,yellow-billed nunbird
chelidoptera tenebrosa,swallow-winged puffbird
galbalcyrhynchus leucotis,white-eared jacamar
galbalcyrhynchus purusianus,purus jacamar
brachygalba albogularis,white-throated jacamar
brachygalba lugubris,brown jacamar
brachygalba goeringi,pale-headed jacamar
brachygalba salmoni,dusky-backed jacamar
jacamaralcyon tridactyla,three-toed jacamar
galbula albirostris,yellow-billed jacamar
galbula cyanicollis,blue-cheeked jacamar
galbula ruficauda,rufous-tailed jacamar
galbula galbula,green-tailed jacamar
galbula tombacea,white-chinned jacamar
galbula cyanescens,bluish-fronted jacamar
galbula pastazae,coppery-chested jacamar
galbula chalcothorax,purplish jacamar
galbula leucogastra,bronzy jacamar
galbula dea,paradise jacamar
jacamerops aureus,great jacamar
trachyphonus purpuratus,yellow-billed barbet
trachyphonus vaillantii,crested barbet
trachyphonus erythrocephalus,red-and-yellow barbet
trachyphonus margaritatus,yellow-breasted barbet
trachyphonus darnaudii,d'arnaud's barbet
gymnobucco bonapartei,gray-throated barbet
gymnobucco sladeni,sladen's barbet
gymnobucco peli,bristle-nosed barbet
gymnobucco calvus,naked-faced barbet
stactolaema leucotis,white-eared barbet
stactolaema whytii,whyte's barbet
stactolaema anchietae,anchieta's barbet
stactolaema olivacea,green barbet
pogoniulus scolopaceus,speckled tinkerbird
pogoniulus simplex,green tinkerbird
pogoniulus leucomystax,moustached tinkerbird
pogoniulus coryphaea,western tinkerbird
pogoniulus atroflavus,red-rumped tinkerbird
pogoniulus subsulphureus,yellow-throated tinkerbird
pogoniulus bilineatus,yellow-rumped tinkerbird
pogoniulus pusillus,red-fronted tinkerbird
pogoniulus chrysoconus,yellow-fronted tinkerbird
buccanodon duchaillui,yellow-spotted barbet
tricholaema hirsuta,hairy-breasted barbet
tricholaema diademata,red-fronted barbet
tricholaema frontata,miombo barbet
tricholaema leucomelas,pied barbet
tricholaema lacrymosa,spot-flanked barbet
tricholaema melanocephala,black-throated barbet
lybius undatus,banded barbet
lybius vieilloti,vieillot's barbet
lybius leucocephalus,white-headed barbet
lybius chaplini,chaplin's barbet
lybius rubrifacies,red-faced barbet
lybius guifsobalito,black-billed barbet
lybius torquatus,black-collared barbet
lybius melanopterus,brown-breasted barbet
lybius minor,black-backed barbet
lybius bidentatus,double-toothed barbet
lybius dubius,bearded barbet
lybius rolleti,black-breasted barbet
caloramphus hayii,sooty barbet
caloramphus fuliginosus,brown barbet
psilopogon malabaricus,malabar barbet
psilopogon rubricapillus,crimson-fronted barbet
psilopogon haemacephalus,coppersmith barbet
psilopogon duvaucelii,blue-eared barbet
psilopogon australis,little barbet
psilopogon eximius,bornean barbet
psilopogon pyrolophus,fire-tufted barbet
psilopogon virens,great barbet
psilopogon lagrandieri,red-vented barbet
psilopogon rafflesii,red-crowned barbet
psilopogon mystacophanos,red-throated barbet
psilopogon javensis,black-banded barbet
psilopogon pulcherrimus,golden-naped barbet
psilopogon henricii,yellow-crowned barbet
psilopogon armillaris,flame-fronted barbet
psilopogon faiostrictus,green-eared barbet
psilopogon lineatus,lineated barbet
psilopogon zeylanicus,brown-headed barbet
psilopogon viridis,white-cheeked barbet
psilopogon flavifrons,yellow-fronted barbet
psilopogon franklinii,golden-throated barbet
psilopogon auricularis,necklaced barbet
psilopogon monticola,mountain barbet
psilopogon corvinus,brown-throated barbet
psilopogon chrysopogon,gold-whiskered barbet
psilopogon incognitus,moustached barbet
psilopogon nuchalis,taiwan barbet
psilopogon faber,chinese barbet
psilopogon asiaticus,blue-throated barbet
psilopogon annamensis,indochinese barbet
psilopogon oorti,black-browed barbet
psilopogon chersonesus,turquoise-throated barbet
capito aurovirens,scarlet-crowned barbet
capito dayi,black-girdled barbet
capito maculicoronatus,spot-crowned barbet
capito squamatus,orange-fronted barbet
capito hypoleucus,white-mantled barbet
capito wallacei,scarlet-banded barbet
capito fitzpatricki,sira barbet
capito quinticolor,five-colored barbet
capito brunneipectus,brown-chested barbet
capito niger,black-spotted barbet
capito auratus,gilded barbet
eubucco richardsoni,lemon-throated barbet
eubucco tucinkae,scarlet-hooded barbet
eubucco bourcierii,red-headed barbet
eubucco versicolor,versicolored barbet
semnornis frantzii,prong-billed barbet
semnornis ramphastinus,toucan barbet
aulacorhynchus prasinus,northern emerald-toucanet
aulacorhynchus albivitta,southern emerald-toucanet
aulacorhynchus sulcatus,groove-billed toucanet
aulacorhynchus derbianus,chestnut-tipped toucanet
aulacorhynchus whitelianus,tepui toucanet
aulacorhynchus haematopygus,crimson-rumped toucanet
aulacorhynchus huallagae,yellow-browed toucanet
aulacorhynchus coeruleicinctis,blue-banded toucanet
andigena hypoglauca,gray-breasted mountain-toucan
andigena laminirostris,plate-billed mountain-toucan
andigena cucullata,hooded mountain-toucan
andigena nigrirostris,black-billed mountain-toucan
pteroglossus bailloni,saffron toucanet
pteroglossus viridis,green aracari
pteroglossus inscriptus,lettered aracari
pteroglossus torquatus,collared aracari
pteroglossus frantzii,fiery-billed aracari
pteroglossus aracari,black-necked aracari
pteroglossus castanotis,chestnut-eared aracari
pteroglossus pluricinctus,many-banded aracari
pteroglossus azara,ivory-billed aracari
pteroglossus beauharnaisii,curl-crested aracari
pteroglossus bitorquatus,red-necked aracari
selenidera piperivora,guianan toucanet
selenidera reinwardtii,golden-collared toucanet
selenidera nattereri,tawny-tufted toucanet
selenidera gouldii,gould's toucanet
selenidera maculirostris,spot-billed toucanet
ramphastos toco,toco toucan
ramphastos ambiguus,yellow-throated toucan
ramphastos tucanus,white-throated toucan
ramphastos sulfuratus,keel-billed toucan
ramphastos brevis,choco toucan
ramphastos vitellinus,channel-billed toucan
ramphastos dicolorus,red-breasted toucan
prodotiscus insignis,cassin's honeyguide
prodotiscus zambesiae,green-backed honeyguide
prodotiscus regulus,wahlberg's honeyguide
melignomon zenkeri,zenker's honeyguide
melignomon eisentrauti,yellow-footed honeyguide
indicator pumilio,dwarf honeyguide
indicator willcocksi,willcocks's honeyguide
indicator meliphilus,pallid honeyguide
indicator exilis,least honeyguide
indicator minor,lesser honeyguide
indicator maculatus,spotted honeyguide
indicator variegatus,scaly-throated honeyguide
indicator xanthonotus,yellow-rumped honeyguide
indicator archipelagicus,malaysian honeyguide
indicator indicator,greater honeyguide
melichneutes robustus,lyre-tailed honeyguide
jynx torquilla,eurasian wryneck
jynx ruficollis,rufous-necked wryneck
picumnus innominatus,speckled piculet
picumnus aurifrons,bar-breasted piculet
picumnus pumilus,orinoco piculet
picumnus lafresnayi,lafresnaye's piculet
picumnus exilis,golden-spangled piculet
picumnus sclateri,ecuadorian piculet
picumnus squamulatus,scaled piculet
picumnus minutissimus,arrowhead piculet
picumnus pygmaeus,spotted piculet
picumnus steindachneri,speckle-chested piculet
picumnus varzeae,varzea piculet
picumnus cirratus,white-barred piculet
picumnus dorbignyanus,ocellated piculet
picumnus temminckii,ochre-collared piculet
picumnus albosquamatus,white-wedged piculet
picumnus fuscus,rusty-necked piculet
picumnus rufiventris,rufous-breasted piculet
picumnus limae,ochraceous piculet
picumnus nebulosus,mottled piculet
picumnus castelnau,plain-breasted piculet
picumnus subtilis,fine-barred piculet
picumnus olivaceus,olivaceous piculet
picumnus granadensis,grayish piculet
picumnus cinnamomeus,chestnut piculet
verreauxia africana,african piculet
sasia abnormis,rufous piculet
sasia ochracea,white-browed piculet
nesoctites micromegas,antillean piculet
hemicircus concretus,gray-and-buff woodpecker
hemicircus canente,heart-spotted woodpecker
sphyrapicus thyroideus,williamson's sapsucker
sphyrapicus varius,yellow-bellied sapsucker
sphyrapicus nuchalis,red-naped sapsucker
sphyrapicus ruber,red-breasted sapsucker
xiphidiopicus percussus,cuban green woodpecker
melanerpes candidus,white woodpecker
melanerpes lewis,lewis's woodpecker
melanerpes herminieri,guadeloupe woodpecker
melanerpes portoricensis,puerto rican woodpecker
melanerpes erythrocephalus,red-headed woodpecker
melanerpes formicivorus,acorn woodpecker
melanerpes chrysauchen,golden-naped woodpecker
melanerpes cruentatus,yellow-tufted woodpecker
melanerpes flavifrons,yellow-fronted woodpecker
melanerpes pulcher,beautiful woodpecker
melanerpes pucherani,black-cheeked woodpecker
melanerpes cactorum,white-fronted woodpecker
melanerpes striatus,hispaniolan woodpecker
melanerpes radiolatus,jamaican woodpecker
melanerpes chrysogenys,golden-cheeked woodpecker
melanerpes hypopolius,gray-breasted woodpecker
melanerpes pygmaeus,yucatan woodpecker
melanerpes rubricapillus,red-crowned woodpecker
melanerpes uropygialis,gila woodpecker
melanerpes hoffmannii,hoffmann's woodpecker
melanerpes aurifrons,golden-fronted woodpecker
melanerpes carolinus,red-bellied woodpecker
melanerpes superciliaris,west indian woodpecker
picoides tridactylus,eurasian three-toed woodpecker
picoides dorsalis,american three-toed woodpecker
picoides arcticus,black-backed woodpecker
yungipicus temminckii,sulawesi pygmy woodpecker
yungipicus maculatus,philippine pygmy woodpecker
yungipicus ramsayi,sulu pygmy woodpecker
yungipicus nanus,brown-capped pygmy woodpecker
yungipicus moluccensis,sunda pygmy woodpecker
yungipicus canicapillus,gray-capped pygmy woodpecker
yungipicus kizuki,japanese pygmy woodpecker
leiopicus mahrattensis,yellow-crowned woodpecker
dendrocoptes medius,middle spotted woodpecker
dendrocoptes auriceps,brown-fronted woodpecker
dendrocoptes dorae,arabian woodpecker
chloropicus abyssinicus,abyssinian woodpecker
chloropicus lugubris,melancholy woodpecker
chloropicus gabonensis,gabon woodpecker
chloropicus elliotii,elliot's woodpecker
chloropicus elachus,little gray woodpecker
chloropicus poecilolaemus,speckle-breasted woodpecker
chloropicus fuscescens,cardinal woodpecker
chloropicus namaquus,bearded woodpecker
chloropicus pyrrhogaster,fire-bellied woodpecker
chloropicus xantholophus,golden-crowned woodpecker
chloropicus stierlingi,stierling's woodpecker
chloropicus obsoletus,brown-backed woodpecker
chloropicus goertae,african gray woodpecker
chloropicus griseocephalus,olive woodpecker
dendrocopos hyperythrus,rufous-bellied woodpecker
dendrocopos macei,fulvous-breasted woodpecker
dendrocopos analis,freckle-breasted woodpecker
dendrocopos atratus,stripe-breasted woodpecker
dendrocopos noguchii,okinawa woodpecker
dendrocopos leucotos,white-backed woodpecker
dendrocopos darjellensis,darjeeling woodpecker
dendrocopos major,great spotted woodpecker
dendrocopos leucopterus,white-winged woodpecker
dendrocopos himalayensis,himalayan woodpecker
dendrocopos syriacus,syrian woodpecker
dendrocopos assimilis,sind woodpecker
dryobates minor,lesser spotted woodpecker
dryobates cathpharius,crimson-breasted woodpecker
dryobates pubescens,downy woodpecker
dryobates nuttallii,nuttall's woodpecker
dryobates scalaris,ladder-backed woodpecker
dryobates borealis,red-cockaded woodpecker
dryobates villosus,hairy woodpecker
dryobates albolarvatus,white-headed woodpecker
dryobates fumigatus,smoky-brown woodpecker
dryobates stricklandi,strickland's woodpecker
dryobates arizonae,arizona woodpecker
dryobates kirkii,red-rumped woodpecker
dryobates cassini,golden-collared woodpecker
dryobates mixtus,checkered woodpecker
dryobates lignarius,striped woodpecker
dryobates sanguineus,blood-colored woodpecker
dryobates passerinus,little woodpecker
dryobates frontalis,dot-fronted woodpecker
dryobates callonotus,scarlet-backed woodpecker
dryobates dignus,yellow-vented woodpecker
dryobates nigriceps,bar-bellied woodpecker
dryobates affinis,red-stained woodpecker
dryobates chocoensis,choco woodpecker
dryobates maculifrons,yellow-eared woodpecker
blythipicus rubiginosus,maroon woodpecker
blythipicus pyrrhotis,bay woodpecker
reinwardtipicus validus,orange-backed woodpecker
chrysocolaptes guttacristatus,greater flameback
chrysocolaptes strictus,javan flameback
chrysocolaptes haematribon,luzon flameback
chrysocolaptes xanthocephalus,yellow-faced flameback
chrysocolaptes lucidus,buff-spotted flameback
chrysocolaptes erythrocephalus,red-headed flameback
chrysocolaptes stricklandi,crimson-backed flameback
chrysocolaptes festivus,white-naped woodpecker
campephilus pollens,powerful woodpecker
campephilus haematogaster,crimson-bellied woodpecker
campephilus rubricollis,red-necked woodpecker
campephilus robustus,robust woodpecker
campephilus melanoleucos,crimson-crested woodpecker
campephilus guatemalensis,pale-billed woodpecker
campephilus gayaquilensis,guayaquil woodpecker
campephilus leucopogon,cream-backed woodpecker
campephilus magellanicus,magellanic woodpecker
campephilus principalis,ivory-billed woodpecker
campephilus imperialis,imperial woodpecker
micropternus brachyurus,rufous woodpecker
meiglyptes tukki,buff-necked woodpecker
meiglyptes tristis,buff-rumped woodpecker
meiglyptes jugularis,black-and-buff woodpecker
gecinulus grantia,pale-headed woodpecker
gecinulus viridis,bamboo woodpecker
dinopium rafflesii,olive-backed woodpecker
dinopium shorii,himalayan flameback
dinopium javanense,common flameback
dinopium everetti,spot-throated flameback
dinopium benghalense,black-rumped flameback
dinopium psarodes,red-backed flameback
picus chlorolophus,lesser yellownape
picus puniceus,crimson-winged woodpecker
picus xanthopygaeus,streak-throated woodpecker
picus squamatus,scaly-bellied woodpecker
picus rabieri,red-collared woodpecker
picus viridanus,streak-breasted woodpecker
picus vittatus,laced woodpecker
picus awokera,japanese woodpecker
picus canus,gray-headed woodpecker
picus erythropygius,black-headed woodpecker
picus vaillantii,levaillant's woodpecker
picus viridis,eurasian green woodpecker
picus sharpei,iberian green woodpecker
chrysophlegma miniaceum,banded woodpecker
chrysophlegma flavinucha,greater yellownape
chrysophlegma mentale,checker-throated woodpecker
geocolaptes olivaceus,ground woodpecker
campethera caroli,brown-eared woodpecker
campethera nivosa,buff-spotted woodpecker
campethera tullbergi,tullberg's woodpecker
campethera maculosa,little green woodpecker
campethera cailliautii,green-backed woodpecker
campethera nubica,nubian woodpecker
campethera punctuligera,fine-spotted woodpecker
campethera bennettii,bennett's woodpecker
campethera scriptoricauda,reichenow's woodpecker
campethera notata,knysna woodpecker
campethera abingoni,golden-tailed woodpecker
campethera mombassica,mombasa woodpecker
mulleripicus fulvus,ashy woodpecker
mulleripicus funebris,northern sooty-woodpecker
mulleripicus fuliginosus,southern sooty-woodpecker
mulleripicus pulverulentus,great slaty woodpecker
dryocopus lineatus,lineated woodpecker
dryocopus pileatus,pileated woodpecker
dryocopus schulzii,black-bodied woodpecker
dryocopus javensis,white-bellied woodpecker
dryocopus hodgei,andaman woodpecker
dryocopus martius,black woodpecker
celeus loricatus,cinnamon woodpecker
celeus torquatus,ringed woodpecker
celeus galeatus,helmeted woodpecker
celeus castaneus,chestnut-colored woodpecker
celeus grammicus,scale-breasted woodpecker
celeus undatus,waved woodpecker
celeus flavus,cream-colored woodpecker
celeus obrieni,kaempfer's woodpecker
celeus ochraceus,ochre-backed woodpecker
celeus elegans,chestnut woodpecker
celeus lugubris,pale-crested woodpecker
celeus flavescens,blond-crested woodpecker
piculus simplex,rufous-winged woodpecker
piculus callopterus,stripe-cheeked woodpecker
piculus leucolaemus,white-throated woodpecker
piculus litae,lita woodpecker
piculus flavigula,yellow-throated woodpecker
piculus chrysochloros,golden-green woodpecker
piculus aurulentus,white-browed woodpecker
colaptes rubiginosus,golden-olive woodpecker
colaptes auricularis,gray-crowned woodpecker
colaptes rivolii,crimson-mantled woodpecker
colaptes atricollis,black-necked woodpecker
colaptes punctigula,spot-breasted woodpecker
colaptes melanochloros,green-barred woodpecker
colaptes auratus,northern flicker
colaptes chrysoides,gilded flicker
colaptes oceanicus,bermuda flicker
colaptes fernandinae,fernandina's flicker
colaptes pitius,chilean flicker
colaptes rupicola,andean flicker
colaptes campestris,campo flicker
cariama cristata,red-legged seriema
chunga burmeisteri,black-legged seriema
herpetotheres cachinnans,laughing falcon
micrastur buckleyi,buckley's forest-falcon
micrastur semitorquatus,collared forest-falcon
micrastur mirandollei,slaty-backed forest-falcon
micrastur ruficollis,barred forest-falcon
micrastur mintoni,cryptic forest-falcon
micrastur plumbeus,plumbeous forest-falcon
micrastur gilvicollis,lined forest-falcon
spiziapteryx circumcincta,spot-winged falconet
caracara lutosa,guadalupe caracara
caracara plancus,crested caracara
ibycter americanus,red-throated caracara
daptrius chimachima,yellow-headed caracara
daptrius ater,black caracara
daptrius chimango,chimango caracara
daptrius carunculatus,carunculated caracara
daptrius megalopterus,mountain caracara
daptrius albogularis,white-throated caracara
daptrius australis,striated caracara
polihierax semitorquatus,pygmy falcon
microhierax erythrogenys,philippine falconet
microhierax melanoleucos,pied falconet
microhierax caerulescens,collared falconet
microhierax fringillarius,black-thighed falconet
microhierax latifrons,white-fronted falconet
neohierax insignis,white-rumped falcon
falco naumanni,lesser kestrel
falco tinnunculus,eurasian kestrel
falco rupicolus,rock kestrel
falco newtoni,malagasy kestrel
falco punctatus,mauritius kestrel
falco araeus,seychelles kestrel
falco duboisi,reunion kestrel
falco moluccensis,spotted kestrel
falco cenchroides,nankeen kestrel
falco rupicoloides,greater kestrel
falco alopex,fox kestrel
falco ardosiaceus,gray kestrel
falco dickinsoni,dickinson's kestrel
falco zoniventris,banded kestrel
falco chicquera,red-necked falcon
falco vespertinus,red-footed falcon
falco amurensis,amur falcon
falco eleonorae,eleonora's falcon
falco concolor,sooty falcon
falco columbarius,merlin
falco subbuteo,eurasian hobby
falco cuvierii,african hobby
falco severus,oriental hobby
falco longipennis,australian hobby
falco novaeseelandiae,new zealand falcon
falco berigora,brown falcon
falco hypoleucos,gray falcon
falco subniger,black falcon
falco femoralis,aplomado falcon
falco rufigularis,bat falcon
falco deiroleucus,orange-breasted falcon
falco biarmicus,lanner falcon
falco jugger,laggar falcon
falco cherrug,saker falcon
falco rusticolus,gyrfalcon
falco peregrinus,peregrine falcon
falco mexicanus,prairie falcon
falco fasciinucha,taita falcon
nestor notabilis,kea
nestor productus,norfolk island kaka
nestor meridionalis,new zealand kaka
strigops habroptila,kakapo
probosciger aterrimus,palm cockatoo
calyptorhynchus banksii,red-tailed black-cockatoo
calyptorhynchus lathami,glossy black-cockatoo
zanda funerea,yellow-tailed black-cockatoo
zanda latirostris,carnaby's black-cockatoo
zanda baudinii,baudin's black-cockatoo
callocephalon fimbriatum,gang-gang cockatoo
lophochroa leadbeateri,pink cockatoo
eolophus roseicapilla,galah
cacatua tenuirostris,long-billed corella
cacatua pastinator,western corella
cacatua sanguinea,little corella
cacatua goffiniana,tanimbar corella
cacatua haematuropygia,philippine cockatoo
cacatua sulphurea,yellow-crested cockatoo
cacatua ducorpsii,ducorps's cockatoo
cacatua galerita,sulphur-crested cockatoo
cacatua ophthalmica,blue-eyed cockatoo
cacatua moluccensis,salmon-crested cockatoo
cacatua alba,white cockatoo
nymphicus hollandicus,cockatiel
psittrichas fulgidus,pesquet's parrot
coracopsis vasa,greater vasa parrot
coracopsis nigra,lesser vasa parrot
coracopsis barklyi,seychelles parrot
micropsitta keiensis,yellow-capped pygmy-parrot
micropsitta geelvinkiana,geelvink pygmy-parrot
micropsitta pusio,buff-faced pygmy-parrot
micropsitta bruijnii,red-breasted pygmy-parrot
micropsitta meeki,meek's pygmy-parrot
micropsitta finschii,finsch's pygmy-parrot
polytelis swainsonii,superb parrot
polytelis anthopeplus,regent parrot
polytelis alexandrae,princess parrot
alisterus scapularis,australian king-parrot
alisterus amboinensis,moluccan king-parrot
alisterus chloropterus,papuan king-parrot
aprosmictus jonquillaceus,olive-shouldered parrot
aprosmictus erythropterus,red-winged parrot
prioniturus mada,buru racquet-tail
prioniturus platurus,golden-mantled racquet-tail
prioniturus waterstradti,mindanao racquet-tail
prioniturus montanus,luzon racquet-tail
prioniturus platenae,blue-headed racquet-tail
prioniturus mindorensis,mindoro racquet-tail
prioniturus verticalis,blue-winged racquet-tail
prioniturus flavicans,yellow-breasted racquet-tail
prioniturus luconensis,green racquet-tail
prioniturus discurus,blue-crowned racquet-tail
eclectus roratus,eclectus parrot
eclectus infectus,oceanic parrot
geoffroyus geoffroyi,red-cheeked parrot
geoffroyus simplex,blue-collared parrot
geoffroyus heteroclitus,singing parrot
psittinus cyanurus,blue-rumped parrot
mascarinus mascarin,mascarene parrot
psittacula eupatria,alexandrine parakeet
psittacula wardi,seychelles parakeet
psittacula krameri,rose-ringed parakeet
psittacula eques,echo parakeet
psittacula himalayana,slaty-headed parakeet
psittacula finschii,gray-headed parakeet
psittacula cyanocephala,plum-headed parakeet
psittacula roseata,blossom-headed parakeet
psittacula columboides,malabar parakeet
psittacula calthrapae,layard's parakeet
psittacula derbiana,derbyan parakeet
psittacula alexandri,red-breasted parakeet
psittacula caniceps,nicobar parakeet
psittacula exsul,newton's parakeet
psittacula longicauda,long-tailed parakeet
lophopsittacus bensoni,mauritius gray parrot
lophopsittacus mauritianus,broad-billed parrot
necropsittacus rodricanus,rodrigues parrot
psittacella picta,painted tiger-parrot
psittacella brehmii,brehm's tiger-parrot
psittacella modesta,modest tiger-parrot
psittacella madaraszi,madarasz's tiger-parrot
tanygnathus gramineus,black-lored parrot
tanygnathus megalorynchos,great-billed parrot
tanygnathus lucionensis,blue-naped parrot
tanygnathus sumatranus,azure-rumped parrot
pezoporus wallicus,ground parrot
pezoporus occidentalis,night parrot
neophema bourkii,bourke's parrot
neophema chrysostoma,blue-winged parrot
neophema elegans,elegant parrot
neophema petrophila,rock parrot
neophema chrysogaster,orange-bellied parrot
neophema pulchella,turquoise parrot
lathamus discolor,swift parrot
prosopeia tabuensis,red shining-parrot
prosopeia personata,masked shining-parrot
eunymphicus cornutus,horned parakeet
eunymphicus uvaeensis,ouvea parakeet
cyanoramphus ulietanus,raiatea parakeet
cyanoramphus zealandicus,black-fronted parakeet
cyanoramphus unicolor,antipodes parakeet
cyanoramphus novaezelandiae,red-crowned parakeet
cyanoramphus hochstetteri,reischek's parakeet
cyanoramphus saisseti,new caledonian parakeet
cyanoramphus cookii,norfolk island parakeet
cyanoramphus auriceps,yellow-crowned parakeet
cyanoramphus forbesi,chatham islands parakeet
cyanoramphus malherbi,malherbe's parakeet
barnardius zonarius,australian ringneck
platycercus caledonicus,green rosella
platycercus elegans,crimson rosella
platycercus venustus,northern rosella
platycercus eximius,eastern rosella
platycercus adscitus,pale-headed rosella
